ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,category_level_2
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,-,TEXA,,Self Service,12,2,False,36,Application métier
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,VOXENS,,Self Service,12,2,False,104,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,TEXA SERVICES,,Téléphone,12,2,False,62,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,VALENCE,TEXA SERVICES,,Self Service,11,2,False,171,Application métier
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA,,Kiosque IT,11,2,False,85,Matériel
Incident,1,1 - Haute,Incidents,Logiciel Bureautique,PDF-Exchange,EURISK MARSEILLE,EURISK,,Téléphone,11,2,False,490,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Application métier,ESKER,BORDEAUX,TEXA SERVICES,,Téléphone,11,2,False,59,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,TEXA,,Téléphone,11,2,False,24,Application métier
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,CELLINKS,,Téléphone,11,2,False,329,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,-,TEXA SERVICES,,Self Service,11,2,False,124,Application métier
Incident,3,1 - Haute,Incidents,Logiciel Bureautique,PDF-Exchange,BAYONNE,TEXA,,Téléphone,11,2,False,854,Logiciel Bureautique
